Times,BER,EbNo,Prop_Loss,Weather,Rain_Loss,EIRP,Range,Rcvd_Frequency,g_over_T,Bandwidth,Free_Space_Loss,Propagation_Delay,Rcvd_Iso_Power,C/No,Atmos Loss
25378.432,0.10111568087477851,-0.8985971279563729,173.49390903315737,Clouds,1.3255157591735527,12.0,799.9804651860512,12.000176160296139,12.0,200.0,172.09299578353756,0.0026684476004598195,-161.49773599102716,19.10140287204363,0.07539749044624398
25379.0,0.10032654385051853,-0.8681832088351732,173.46351341061734,Clouds,1.3225174083855138,12.0,797.4866989383193,12.000175318447818,12.0,200.0,172.06587710906004,0.002660129291639215,-161.46732207190595,19.131816791164827,0.07511889317179751
25380.0,0.09894571407695674,-0.8148003593375395,173.41016319537883,Clouds,1.3172839943946086,12.0,793.1255022382114,12.000173816896405,12.0,200.0,172.01824643185958,0.002645581905326689,-161.41393922240835,19.18519964066246,0.07463276912459985
25381.0,0.09757603386611519,-0.7616344624566231,173.35703047712457,Clouds,1.3121086106568278,12.0,788.8021300644115,12.000172290286251,12.0,200.0,171.97076963672134,0.0026311606880531045,-161.36077332552742,19.238365537543377,0.07415222974639181
25382.0,0.09621786853680425,-0.7086966731639961,173.30412641793555,Clouds,1.3069914429942722,12.0,784.517212824019,12.000170738289667,12.0,200.0,171.9234576775214,0.0026168677426302,-161.30783553623476,19.291303326836005,0.07367729741987311
25383.0,0.09487158239438881,-0.655998427506136,173.2514624608976,Clouds,1.301932677896573,12.0,780.2713885241724,12.000169160582157,12.0,200.0,171.87632178739065,0.002602705197220713,-161.25513729057695,19.344001572493863,0.07320799561038033
25384.0,0.09353753868428799,-0.6035514576229375,173.1990503450953,Clouds,1.2969325035729673,12.0,776.0653037670426,12.000167556843572,12.0,200.0,171.82937349254573,0.0025886752086573257,-161.20269032069373,19.396448542377062,0.07274434897660079
25385.0,0.09221609889478449,-0.5513677812496746,173.1469020951119,Clouds,1.2919911086069382,12.0,771.8996126957088,12.000165926758177,12.0,200.0,171.78262460325084,0.002574779958926481,-161.15050664432047,19.448632218750326,0.07228638325413526
25386.0,0.09090762256687773,-0.49945971087807584,173.09503003016889,Clouds,1.2871086825558207,12.0,767.77497753854,12.00016427001567,12.0,200.0,171.73608722229744,0.002561021656984246,-161.0985985739489,19.500540289121922,0.07183412531563743
25387.0,0.08961246668240086,-0.44783984604182425,173.04344675640522,Clouds,1.2822854150192389,12.0,763.6920678188526,12.000162586311454,12.0,200.0,171.6897737383004,0.0025474025361200132,-161.04697870911258,19.552160153958177,0.07138760308560071
25388.0,0.08833098550229146,-0.396521083108922,172.99216517664547,Clouds,1.2775214964317958,12.0,759.6515609736484,12.000160875347747,12.0,200.0,171.64369683460347,0.0025339248560203886,-160.99565994617973,19.603478916891078,0.07094684561020904
25389.0,0.08706353003233158,-0.34551660991898747,172.94119848502646,Clouds,1.2728171175118765,12.0,755.654141783953,12.000159136834085,12.0,200.0,171.59786948451878,0.002520590900869004,-160.94465547298978,19.654483390081012,0.07051188299583266
25390.0,0.0858104475385536,-0.2948399017987716,172.89056016299992,Clouds,1.268172468948499,12.0,751.7005019413035,12.000157370487905,12.0,200.0,171.55230494768503,0.0025074029779004765,-160.89397876486956,19.70516009820123,0.0700827463663896
25391.0,0.08457208126029692,-0.24450472496005268,172.84026398270922,Clouds,1.2635877418661943,12.0,747.7913402129172,12.000155576035521,12.0,200.0,171.5070167729597,0.0024943634179513527,-160.84364358803083,19.755495275039948,0.06965946788332952
25392.0,0.08334876996761514,-0.19452513300218455,172.7903240034761,Clouds,1.2590631277637914,12.0,743.9273620852503,12.000153753212853,12.0,200.0,171.46201879500055,0.0024814745742711454,-160.79366399607298,19.805474866997816,0.06924208071177201
25393.0,0.0821408475638698,-0.1449154644699404,172.7407545693411,Clouds,1.2545988186712689,12.0,740.1092795141712,12.000151901766229,12.0,200.0,171.4173251316728,0.0024687388216890075,-160.74405432754074,19.85508453553006,0.06883061899702476
25394.0,0.080948630159634,-0.09569033984034234,172.69157030603182,Clouds,1.2501950073851624,12.0,736.3378106541985,12.000150021453234,12.0,200.0,171.37295018080567,0.002456158555710559,-160.6948292029111,19.904309660159658,0.06842511784097353
25395.0,0.07977246445176078,-0.046864659375963964,172.64278611879598,Clouds,1.2458518879188551,12.0,732.6136796778434,12.000148112043654,12.0,200.0,171.32890861758915,0.002443736191915286,-160.64600352244673,19.953135340624037,0.06802561328795995
25396.0,0.07860191002149047,0.0019962100339155136,172.59396737922987,Clouds,1.2411198523248808,12.0,728.9376160156049,12.000146173320044,12.0,200.0,171.28521538465523,0.0024314741634214325,-160.59714265303685,20.001996210033916,0.06763214224973944
25397.0,0.07740865119324003,0.05208964811428235,172.54391671200565,Clouds,1.2347862735244148,12.0,725.3103547983479,12.000144205079202,12.0,200.0,171.24188569592252,0.0024193749223616156,-160.54704921495647,20.052089648114283,0.06724474255870758
25398.0,0.07623390920239959,0.10169644586557162,172.49435333020216,Clouds,1.228554856095966,12.0,721.7326357236365,12.000142207132534,12.0,200.0,171.19893502125166,0.0024074409361013226,-160.4974424172052,20.101696445865574,0.06686345285455333
25399.0,0.07507797709302139,0.15080030048295856,172.44529354035794,Clouds,1.2224261430393755,12.0,718.2052031142896,12.000140179307325,12.0,200.0,171.15637908471993,0.00239567468743423,-160.44833856258782,20.150800300482956,0.06648831259863848
25400.0,0.07394113932551394,0.19938464918013105,172.39675390862595,Clouds,1.2164006898662005,12.0,714.72880550103,12.000138121447733,12.0,200.0,171.11423385672285,0.002384078673190071,-160.39975421389067,20.199384649180132,0.06611936203689064
25401.0,0.07282367132640216,0.24743268410519878,172.34875124584462,Clouds,1.2104790633140663,12.0,711.3041947880306,12.000136033415387,12.0,200.0,171.07251554040943,0.002372655401451195,-160.35170617896557,20.2474326841052,0.06575664212114407
