Times,BER,EbNo,Prop_Loss,Weather,Rain_Loss,EIRP,Range,Rcvd_Frequency,g_over_T,Bandwidth,Free_Space_Loss,Propagation_Delay,Rcvd_Iso_Power,C/No,Atmos Loss
36499.194,0.06862422223595477,0.4307543468659736,172.16709249610665,Clear,0.0,12.0,799.9959607744803,12.00005949087469,12.0,200.0,172.09316402723016,0.0026684992881791584,-160.1683845162048,20.430754346865974,0.07392846887650653
36500.0,0.06833078814595,0.4437361110021527,172.1541512907088,Clear,0.0,12.0,798.8168384611002,12.000057623622633,12.0,200.0,172.08035236079178,0.0026645661595032528,-160.15540275206862,20.443736111002153,0.07379892991704137
36501.0,0.06797986145373186,0.4592924284524901,172.1386455412437,Clear,0.0,12.0,797.4063041731491,12.000055295538251,12.0,200.0,172.0650014389593,0.002659861123568189,-160.13984643461828,20.45929242845249,0.07364410228440382
36502.0,0.06764354024233193,0.47423334080806256,172.12375546174292,Clear,0.0,12.0,796.05408502214,12.0000529552323,12.0,200.0,172.05025964906463,0.0026553506059920295,-160.1249055222627,20.474233340808063,0.07349581267830632
36503.0,0.06732188454558685,0.4885523954375104,172.10948749534754,Clear,0.0,12.0,794.7604807776062,12.000050603141279,12.0,200.0,172.03613341911733,0.0026510356066983052,-160.11058646763328,20.488552395437512,0.07335407623021396
36504.0,0.06701495132235957,0.5022433566078156,172.09584786803745,Clear,0.0,12.0,793.5257804306453,12.000048239713818,12.0,200.0,172.0226289604161,0.002646917089657557,-160.09689550646297,20.502243356607813,0.07321890762135544
36505.0,0.06672279440073953,0.5153002187058565,172.08284257540984,Clear,0.0,12.0,792.35026147479,12.000045865410659,12.0,200.0,172.00975225439595,0.0026429959804885753,-160.08383864436493,20.515300218705853,0.07309032101389323
36506.0,0.06644546455953232,0.5277172131921942,172.07047737573527,Clear,0.0,12.0,791.2341897465211,12.000043480704209,12.0,200.0,171.99750904569623,0.0026392731659264125,-160.07142164987857,20.527717213192194,0.07296833003902051
36507.0,0.06618300957683931,0.5394888168062575,172.05875778176167,Clear,0.0,12.0,790.1778191393046,12.000041086078124,12.0,200.0,171.98590483398624,0.002635749492868512,-160.05965004626455,20.53948881680626,0.07285294777543175
36508.0,0.06593547424010154,0.5506097612548125,172.04768905103174,Clear,0.0,12.0,789.1813911706996,12.000038682027032,12.0,200.0,171.97494486432333,0.002632425766930733,-160.04852910181597,20.550609761254815,0.07274418670839931
