Times,BER,EbNo,Prop_Loss,Weather,Rain_Loss,EIRP,Range,Rcvd_Frequency,g_over_T,Bandwidth,Free_Space_Loss,Propagation_Delay,Rcvd_Iso_Power,C/No,Atmos Loss
36826.106120169,0.06866489750410831,0.42895669169973066,172.16589528279076,Clear,0.0,12.0,799.992914563203,12.000197321111683,12.0,200.0,172.09313095318151,0.0026684891271120735,-160.17018217137107,20.428956691699728,0.0727643296092561
36827.0,0.06757594890923424,0.4772398688830094,172.11763611219675,Clear,0.0,12.0,795.5987600751525,12.000196216655075,12.0,200.0,172.0452900951081,0.002653831805452399,-160.1218989941878,20.477239868883007,0.07234601708864485
36828.0,0.06636665895376759,0.5312496810083677,172.06365363519302,Clear,0.0,12.0,790.7124321307538,12.00019495905726,12.0,200.0,171.99177948545693,0.002637532769856251,-160.0678891820624,20.53124968100837,0.07187414973609518
36829.0,0.06516728061258442,0.5852381580605746,172.00969300749904,Clear,0.0,12.0,785.8578165043866,12.000193677792996,12.0,200.0,171.9382876872035,0.002621339515166811,-160.0139007050102,20.585238158060577,0.07140532029552862
36830.0,0.0639781377416026,0.6391962065613286,171.95576333191366,Clear,0.0,12.0,781.0355101202863,12.00019237243301,12.0,200.0,171.88482373712213,0.002605254032509004,-159.95994265650947,20.63919620656133,0.07093959479154226
36831.0,0.06279955248842134,0.6931144108760492,171.9018740334684,Clear,0.0,12.0,776.2461201875999,12.000191042544499,12.0,200.0,171.831396993058,0.0025892783473145274,-159.90602445219474,20.69311441087605,0.07047704041038179
36832.0,0.06163284458715268,0.7469367112122621,171.84808118141675,Clear,0.0,12.0,771.4902649271068,12.000189687691691,12.0,200.0,171.77801714835354,0.00257341452174593,-159.85220215185853,20.74693671121226,0.07006403306319003
36833.0,0.060476292137786325,0.8007471193350113,171.79430077351168,Clear,0.0,12.0,766.7685734806295,12.000188307436169,12.0,200.0,171.72469423729444,0.0025576646543944395,-159.79839174373578,20.800747119335014,0.06960653621720302
36834.0,0.05933125123610794,0.8544873561444974,171.74059109841807,Clear,0.0,12.0,762.0816861246358,12.00018690133733,12.0,200.0,171.67143864395373,0.0025420308809924624,-159.7446515069263,20.854487356144496,0.06915245446433568
36835.0,0.05819803324058165,0.9081466254798176,171.68696296190507,Clear,0.0,12.0,757.4302537076295,12.000185468952564,12.0,200.0,171.61826110217802,0.002526515372536922,-159.69099223759096,20.908146625479816,0.06870185972705625
