Times,BER,EbNo,Prop_Loss,Weather,Rain_Loss,EIRP,Range,Rcvd_Frequency,g_over_T,Bandwidth,Free_Space_Loss,Propagation_Delay,Rcvd_Iso_Power,C/No,Atmos Loss
31300.018,0.22975833726203576,-5.629857475148963,178.2247333473262,Rain,5.991912743817869,12.0,799.9965651019731,12.0001962216653,12.0,200.0,172.0931705886632,0.002668501303998692,-166.22899633821976,14.370142524851037,0.13965001484513223
31301.0,0.2277635098322539,-5.552817481029861,178.1477201210042,Rain,5.9681560062940955,12.0,795.1977463841306,12.000194990168309,12.0,200.0,172.0409109545666,0.002652494167762321,-166.15195634410065,14.447182518970138,0.13865316014351478
31302.0,0.22573394742156494,-5.474745506409403,178.06967591017977,Rain,5.944315399738115,12.0,790.3423009738243,12.000193712840712,12.0,200.0,171.9877126832494,0.0026362981452115928,-166.07388436948017,14.525254493590598,0.13764782719227275
31303.0,0.2237068399117606,-5.397070115928812,177.9920288025598,Rain,5.920833666885361,12.0,785.5190639916456,12.00019241162414,12.0,200.0,171.93454273330687,0.0026202095584127254,-165.99620897899962,14.602929884071187,0.13665240236755982
31304.0,0.2216828154288653,-5.319804780171818,177.91479227798322,Rain,5.897715028431556,12.0,780.7286372856997,12.000191086092313,12.0,200.0,171.88141033617694,0.0026042304149149066,-165.9189436432426,14.680195219828182,0.13566691337472708
31305.0,0.21966251878010357,-5.242963413562828,177.83798026019244,Rain,5.8749638162469555,12.0,775.9716336671546,12.000189735816049,12.0,200.0,171.82832505338635,0.002588362758836163,-165.84210227663363,14.75703658643717,0.13469139055915733
31306.0,0.2176466077169859,-5.166560376457942,177.76160711891703,Rain,5.852584471520709,12.0,771.2486767021622,12.000188360363587,12.0,200.0,171.775296780545,0.0025726086701692882,-165.76569923952874,14.83343962354206,0.13372586685127777
31307.0,0.2156357664495962,-5.09061048571136,177.68568768043014,Rain,5.830581545269341,12.0,766.5604010435895,12.000186959301054,12.0,200.0,171.7223357573401,0.002556970265888375,-165.68974934878213,14.909389514288641,0.13277037782069415
31308.0,0.21363068530816215,-5.015129002728297,177.610237215596,Rain,5.80895969216491,12.0,761.9074513900987,12.000185532192711,12.0,200.0,171.66945256197369,0.0025414496964766826,-165.6142678657991,14.984870997271704,0.13182496145738729
31309.0,0.2116320740521181,-4.94013166953316,177.53527147592249,Rain,5.787723678021004,12.0,757.2904844300785,12.000184078601672,12.0,200.0,171.61665813934468,0.002526049152410894,-165.53927053260395,15.059868330466841,0.13088965855678295
31310.0,0.2096406575728712,-4.865634678141466,177.4608066629283,Rain,5.766878367897971,12.0,752.7101666942491,12.00018259809012,12.0,200.0,171.5639637827559,0.002510770856998174,-165.46477354121225,15.134365321858533,0.12996451227444641
31311.0,0.20765717651433602,-4.791654709689243,177.386859467255,Rain,5.746428733815726,12.0,748.1671767358772,12.000181090220112,12.0,200.0,171.51138116487576,0.002495617073648588,-165.39079357276,15.208345290310756,0.1290495685635102
31312.0,0.20568238608908623,-4.718208906880475,177.3134470411071,Rain,5.7263798433889725,12.0,743.6622032376865,12.000179554553899,12.0,200.0,171.4589223219349,0.002480590099560432,-165.31734776995125,15.281791093119523,0.12814487578326594
31313.0,0.20371705613761448,-4.645314893927307,177.2405870181764,Rain,5.706736861486848,12.0,739.1959460784489,12.000177990654683,12.0,200.0,171.4065996717796,0.002465692269277998,-165.2444537569981,15.354685106072694,0.12725048490994945
31314.0,0.2017619705511891,-4.57299077357818,177.16829751065677,Rain,5.687505045117583,12.0,734.7691160317634,12.000176398087198,12.0,200.0,171.35442601606482,0.0024509259536868114,-165.17212963664895,15.42700922642182,0.12636644947439396
31315.0,0.19981792676010912,-4.50125512747874,177.0965971095901,Rain,5.668689738873551,12.0,730.3824347182947,12.00017477641843,12.0,200.0,171.3024145451721,0.002436293559854313,-165.10039399054955,15.498744872521259,0.12549282554442145
31316.0,0.19788573528680892,-4.4301270197194,177.0255048883973,Rain,5.65029637073888,12.0,726.0366348059761,12.000173125218355,12.0,200.0,171.25057884589197,0.0024217975316976653,-165.02926588279018,15.5698729802806,0.12462967176645155
31317.0,0.1959662186549594,-4.359625977442334,176.95504038347184,Rain,5.63233044149006,12.0,721.7324588687075,12.00017144406057,12.0,200.0,171.19893289284218,0.002407440346176779,-164.9587648405131,15.640374022557666,0.1237770491396015
31318.0,0.19406021153370873,-4.289772017571443,176.88522362088605,Rain,5.614797525404557,12.0,717.4706611324035,12.000169732523373,12.0,200.0,171.14749107412536,0.0023932245191185014,-164.88891088064221,15.710227982428556,0.12293502135615275
31319.0,0.19216855917740694,-4.22058561148277,176.81607508104906,Rain,5.597703254417892,12.0,713.2520055035437,12.000167990190345,12.0,200.0,171.09626817221232,0.0023791525986405692,-164.81972447455354,15.77941438851723,0.12210365441884535
31320.0,0.19029211709558824,-4.152087695427916,176.747615709107,Rain,5.581053313296672,12.0,709.0772664785061,12.000166216651417,12.0,200.0,171.04527937899095,0.002365227168184818,-164.7512265584987,15.847912304572084,0.12128301681937807
31321.0,0.18843175007063634,-4.084299657428906,176.67986690181792,Rain,5.564853428012238,12.0,704.947228709293,12.000164411503777,12.0,200.0,170.99454029434753,0.0023514508450686008,-164.6834385204997,15.915700342571093,0.1204731794581189
31322.0,0.18658833122745305,-4.017243326432102,176.6128504966843,Rain,5.549109353840029,12.0,700.8626868112901,12.000162574352863,12.0,200.0,170.94406692723163,0.002337826279843538,-164.61638218950287,15.982756673567897,0.1196742156126396
31323.0,0.18476274114816643,-3.950940963301732,176.5465887629227,Rain,5.533826862856212,12.0,696.8244453988464,12.000160704813466,12.0,200.0,170.89387569911977,0.0023243561564142033,-164.55007982637252,16.049059036698267,0.11888620094670987
31324.0,0.1829558664523263,-3.8854152324894935,176.48110437311306,Rain,5.519011725859655,12.0,692.8333180696009,12.000158802510652,12.0,200.0,170.84398343392945,0.002311043188650199,-164.4845540955603,16.114584767510507,0.11810921332396615
31325.0,0.1811685988840795,-3.820689192108269,176.4164203932455,Rain,5.504669697394289,12.0,688.8901276505914,12.000156867081015,12.0,200.0,170.79440736298864,0.0022978901212070894,-164.41982805517907,16.17931080789173,0.11734333286258773
31326.0,0.17940183443147767,-3.7567862848997335,176.35256027365892,Rain,5.490806499318727,12.0,684.9957066526224,12.000154898173994,12.0,200.0,170.7451651323072,0.0022848997310420077,-164.3559251479705,16.243213715100268,0.11658864203298477
31327.0,0.17765647133060425,-3.693730288510663,176.2895477992976,Rain,5.477427793903759,12.0,681.1508954125045,12.000152895452796,12.0,200.0,170.69627478008388,0.0022720748212168313,-164.29286915158144,16.30626971148934,0.11584522530992597
31328.0,0.17593340925114337,-3.6315453080546227,176.2274070822394,Rain,5.464539164550308,12.0,677.3565429975323,12.00015085859593,12.0,200.0,170.64775474832967,0.0022594182239152,-164.23068417112543,16.368454691945377,0.1151131693594218
31329.0,0.17423354725077306,-3.5702557235053822,176.16616250906674,Rain,5.452146084934492,12.0,673.6135055550619,12.000148787298238,12.0,200.0,170.59962386139813,0.002246932794937296,-164.16939458657617,16.429744276494617,0.11439256273412184
31330.0,0.17255778300076546,-3.509886182140934,176.10583873327275,Rain,5.440253895384996,12.0,669.9226476316185,12.000146681272643,12.0,200.0,170.55190134174438,0.0022346214180999123,-164.10902504521172,16.490113817859065,0.11368349614337714
31331.0,0.17090701021954718,-3.45046152534737,176.04646060204513,Rain,5.428867763584904,12.0,666.2848397191341,12.000144540251066,12.0,200.0,170.5046067764643,0.002222486997051587,-164.04960038841813,16.54953847465263,0.112986061995925
31332.0,0.16928211780813562,-3.392006775576646,175.98805314318244,Rain,5.417992654743678,12.0,662.7009597358672,12.000142363986338,12.0,200.0,170.457760133734,0.0022105324602124153,-163.99114563864742,16.607993224423353,0.11230035470476234
31333.0,0.1676839872007338,-3.334547057648543,175.9306414863737,Rain,5.407633286178069,12.0,659.1718907662355,12.000140152253227,12.0,200.0,170.41138172992416,0.0021987607532349446,-163.93368592071934,16.665452942351457,0.11162647027151013
31334.0,0.16611349094547861,-3.2781075627872025,175.87425082719608,Rain,5.39779408706538,12.0,655.6985217162627,12.000137904850233,12.0,200.0,170.36549223369877,0.00218717484119051,-163.87724642585798,16.721892437212798,0.11096450643193949
31335.0,0.16457149006902433,-3.222713467179328,175.81890634564706,Rain,5.38847914658943,12.0,652.281745494397,12.000135621600778,12.0,200.0,170.3201126367262,0.0021757777025010984,-163.82185233025012,16.77728653282067,0.11031456233141458
31336.0,0.16305883263118226,-3.1683898913895496,175.7646331655168,Rain,5.379692165628672,12.0,648.9224600496349,12.000133302355191,12.0,200.0,170.27526426114156,0.0021645723324021544,-163.76752875446033,16.83161010861045,0.10967673874654625
31337.0,0.16157635063783898,-3.115161798704651,175.7114562527085,Rain,5.3714363941730685,12.0,645.6215660051438,12.00013094699181,12.0,200.0,170.23096872087703,0.0021535617350491977,-163.71430066177544,16.88483820129535,0.10905113765844904
31338.0,0.16012485164806783,-3.063053929518566,175.65940034958444,Rain,5.363714570825502,12.0,642.3799668949142,12.00012855541877,12.0,200.0,170.18724791643467,0.002142748924307209,-163.66219279258934,16.936946070481433,0.1084378623242545
31339.0,0.15870514093836385,-3.0120907091613365,175.60848988276152,Rain,5.356528853548457,12.0,639.1985681596819,12.000126127575546,12.0,200.0,170.14412401210083,0.0021321369204013864,-163.61122957223213,16.98790929083866,0.10783701711225556
