Times,BER,EbNo,Prop_Loss,Weather,Rain_Loss,EIRP,Range,Rcvd_Frequency,g_over_T,Bandwidth,Free_Space_Loss,Propagation_Delay,Rcvd_Iso_Power,C/No,Atmos Loss
56016.81842381,0.11733516039432579,-1.5109440320836192,174.10616804534328,Clouds,1.9438637304009396,12.0,799.9857006768536,12.000180204263588,12.0,200.0,172.0930526283588,0.0026684650641773436,-162.1100828951544,18.489055967916382,0.06925168658356003
56017.0,0.11705788408253381,-1.5006487309919971,174.09587832457308,Clouds,1.9425316515902902,12.0,799.1688335112635,12.000179947511672,12.0,200.0,172.08417891601303,0.0026657402886074723,-162.0997875940628,18.499351269008002,0.06916775696977415
56018.0,0.11553663043721762,-1.4440732118942097,174.03933384853462,Clouds,1.9352504991185062,12.0,794.691075263509,12.000178519207106,12.0,200.0,172.03537485729294,0.0026508040948231893,-162.04321207496497,18.55592678810579,0.06870849212322036
56019.0,0.11402551630910229,-1.3877156104177928,173.9830078210225,Clouds,1.9280629820740196,12.0,790.2493039895494,12.0001770664649,12.0,200.0,171.98669058299214,0.0026359879406624345,-161.98685447348856,18.612284389582207,0.06825425595634474
56020.0,0.1125249483159011,-1.331586943044587,173.92691126610177,Clouds,1.9209697361993296,12.0,785.8441345721096,12.00017558893561,12.0,200.0,171.93813646291608,0.002621293877153206,-161.9307258061154,18.668413056955412,0.06780506698633787
56021.0,0.11103534253697217,-1.2756985234163165,173.8710555049585,Clouds,1.9139713983578859,12.0,781.4761908350707,12.000174086271555,12.0,200.0,171.88972316175156,0.0026067239851479875,-161.8748373864871,18.724301476583683,0.06736094484906857
56022.0,0.10955711561555842,-1.2200619520189013,173.81545214557752,Clouds,1.907068603461779,12.0,777.1461045675983,12.000172558127131,12.0,200.0,171.84146163191832,0.002592280372068594,-161.8192008150897,18.779938047981098,0.0669219101974254
56023.0,0.10809068487497009,-1.1646891380906896,173.76011310463065,Clouds,1.9002619853731724,12.0,772.8545170818617,12.000171004159723,12.0,200.0,171.79336313439907,0.002577965177102159,-161.76382800116147,18.83531086190931,0.066487984858411
56024.0,0.10663646724140541,-1.1095922766897952,173.70505058454154,Clouds,1.893552172204995,12.0,768.6020772928692,12.000169424029819,12.0,200.0,171.74543922069807,0.0025637805647961607,-161.70873113976057,18.890407723310204,0.06605919163842341
56025.0,0.1051948794106119,-1.0547838726226686,173.65027709739113,Clouds,1.8869397873596134,12.0,764.3894434602518,12.000167817402076,12.0,200.0,171.69770175553413,0.002549728730868379,-161.65392273569347,18.945216127377332,0.06563555449738136
56026.0,0.1037663368335573,-1.0002767196305038,173.5958054440999,Clouds,1.8804254450701816,12.0,760.21728148554,12.000166183945515,12.0,200.0,171.65016290065068,0.0025358118965272303,-161.5994155827013,18.999723280369494,0.06521709837904985
56027.0,0.10235125355059443,-0.9460839115123256,173.54164872553116,Clouds,1.8740097498052812,12.0,756.0862657024437,12.00016452333442,12.0,200.0,171.60283512643667,0.002522032311107852,-161.54522277458312,19.053916088487675,0.0648038492892362
56028.0,0.10095004170432115,-0.8922188408829722,173.48782034123423,Clouds,1.867693294134722,12.0,751.9970787305182,12.00016283524903,12.0,200.0,171.55573121281552,0.0025083922515839884,-161.49135770395375,19.107781159117028,0.0643958342840113
56029.0,0.09956311074623819,-0.8386951857609588,173.43433397602269,Clouds,1.8614766551788509,12.0,747.9504104353457,12.000161119375981,12.0,200.0,171.50886423947767,0.0024948940190995255,-161.43783404883175,19.161304814239042,0.0639930813661606
56030.0,0.09819086747129024,-0.7855269275995773,173.38120361797908,Clouds,1.8553603947136719,12.0,743.9469593006501,12.000159375409508,12.0,200.0,171.4622476036408,0.0024815399435453777,-161.38466579067034,19.214473072400423,0.06359561962461414
56031.0,0.09683371491779602,-0.7327283250701202,173.32844353223317,Clouds,1.8493450541424856,12.0,739.9874304764717,12.000157603051688,12.0,200.0,171.41589499904808,0.002468332377048897,-161.3318671881409,19.26727167492988,0.06320347904257782
56032.0,0.09549205246671727,-0.6803139336172505,173.27606828048772,Clouds,1.8434311547514355,12.0,736.0725373125933,12.000155802013794,12.0,200.0,171.36982043508337,0.002455273699088832,-161.27945279668805,19.319686066382747,0.06281669065291201
56033.0,0.09416627482303402,-0.6282985809446955,173.22409269649708,Clouds,1.837619192950479,12.0,732.2029996054607,12.000153972016623,12.0,200.0,171.32403821717773,0.002442366310647684,-161.2274374440155,19.371701419055306,0.06243528636888377
56034.0,0.09285677188961239,-0.5766973764210704,173.17253189544633,Clouds,1.83190963940263,12.0,728.3795444221244,12.000152112791728,12.0,200.0,171.27856295697558,0.0024296126369600813,-161.17583623949187,19.423302623578927,0.0620592990680881
56035.0,0.09156392791337875,-0.5255256910906232,173.12140125395072,Clouds,1.8263029349121713,12.0,724.6029047631541,12.000150224081928,12.0,200.0,171.2334095565711,0.0024170151230527423,-161.1246645541614,19.47447430890938,0.06168876246745878
56036.0,0.09028812143573689,-0.4747991683358933,173.070716420689,Clouds,1.8207994897661626,12.0,720.8738205333411,12.000148305642673,12.0,200.0,171.18859321970032,0.0024045762369823897,-161.07393803140667,19.525200831664108,0.061323711222500264
56037.0,0.089029724597187,-0.42453370803705986,173.02049330054695,Clouds,1.8153996802235621,12.0,717.1930375769349,12.000146357242757,12.0,200.0,171.14412943948446,0.0023922984666176457,-161.02367257110785,19.57546629196294,0.060964180838927455
56038.0,0.0877891025344299,-0.37474545298934414,172.97074804101703,Clouds,1.8101038453979388,12.0,713.5613069256165,12.000144378665144,12.0,200.0,171.10003398801416,0.002380184317130541,-160.97388431606015,19.625254547010655,0.06061020760492787
56039.0,0.08656661314256031,-0.325450788584395,172.92149703185362,Clouds,1.8049122856855118,12.0,709.9793850514311,12.000142369708172,12.0,200.0,171.05632291754455,0.0023682363118402105,-160.9245896516552,19.674549211415602,0.06026182862358784
56040.0,0.08536260656842642,-0.2766663303787897,172.87275689262088,Clouds,1.799825260031047,12.0,706.4480332633711,12.000140330186499,12.0,200.0,171.01301255082947,0.002356456990200104,-160.87580519344957,19.723333669621212,0.0599190817603452
56041.0,0.084177424793075,-0.2284089136750769,172.8245444622519,Clouds,1.794842983593413,12.0,702.9680172864083,12.000138259932108,12.0,200.0,170.9701194730475,0.002344848906393797,-160.82754777674586,19.77159108632492,0.05958200561100327
56042.0,0.08301140130106782,-0.18069558502278177,172.77687679052474,Clouds,1.789965625807174,12.0,699.5401070110519,12.000136158795472,12.0,200.0,170.92766052523274,0.0023334146284996,-160.77983444809354,19.819304414977218,0.05925063948481704
56043.0,0.08186486043958857,-0.13354357927081265,172.7297711150992,Clouds,1.7851933072108022,12.0,696.1650752374,12.000134026646256,12.0,200.0,170.88565278459552,0.0023221567343011673,-160.7326824423416,19.86645642072919,0.05892502329290689
56044.0,0.08073810475626114,-0.08697032578309383,172.6832448676963,Clouds,1.7805260995077776,12.0,692.8436985446314,12.00013186337499,12.0,200.0,170.84411357054776,0.0023110778141878117,-160.68610918885386,19.913029674216908,0.0586051976407429
