Times,BER,EbNo,Prop_Loss,Weather,Rain_Loss,EIRP,Range,Rcvd_Frequency,g_over_T,Bandwidth,Free_Space_Loss,Propagation_Delay,Rcvd_Iso_Power,C/No,Atmos Loss
40476.352039667,0.1911819873907336,-4.184555683091703,176.77955477135595,Clouds,4.54292837522689,12.0,799.9992391723961,12.000190552841495,12.0,200.0,172.09319962209005,0.002668510223737503,-164.7836945461625,15.815444316908296,0.14342677403897292
40477.0,0.1899299274691144,-4.138880840623541,176.73389843233622,Clouds,4.531409097971368,12.0,796.921503063131,12.000189701536256,12.0,200.0,172.05971905092252,0.0026582440011320464,-164.73801970369433,15.86111915937646,0.14277028344232995
40478.0,0.18800289945954984,-4.0686898612625635,176.6637364358198,Clouds,4.513878230303717,12.0,792.1988804233778,12.000188368088471,12.0,200.0,172.00809262885943,0.0026424910276541306,-164.66782872433333,15.931310138737436,0.14176557665664846
40479.0,0.18608277885669855,-3.9988722881547165,176.59394837069001,Clouds,4.496648935384175,12.0,787.5098718046485,12.00018701047111,12.0,200.0,171.95652827444104,0.0026268501784813027,-164.59801115122553,16.001127711845285,0.1407711608647898
40480.0,0.18417013858418002,-3.9294401055513117,176.5245462299042,Clouds,4.479723476862468,12.0,782.8550854646904,12.000185628283127,12.0,200.0,171.90503568520327,0.0026113234825430147,-164.5285789686221,16.07055989444869,0.13978706783843825
40481.0,0.1822655621724889,-3.8604056957439785,176.45554240448365,Clouds,4.463104184241936,12.0,778.2351408251483,12.000184221122362,12.0,200.0,171.85362488812157,0.0025959130060074706,-164.45954455881477,16.139594304256022,0.13881333212015598
40482.0,0.18036964253126797,-3.7917818094936595,176.38694965393884,Clouds,4.4467934431135765,12.0,773.6506662402988,12.000182788585729,12.0,200.0,171.8023062202821,0.002580620844838928,-164.39092067256445,16.20821819050634,0.13784999054314234
40483.0,0.17848298254369288,-3.7235816032089986,176.3187811434325,Clouds,4.4307937013550305,12.0,769.1023012624987,12.000181330269907,12.0,200.0,171.75109035938038,0.0025654491323544196,-164.3227204662798,16.276418396791,0.13689708269708104
40484.0,0.17660619389182103,-3.6558186126493526,176.2510504174767,Clouds,4.41510745996617,12.0,764.5906946791677,12.000179845771614,12.0,200.0,171.6999883069988,0.002550400032675831,-164.25495747572015,16.34418138735065,0.13595465051176617
40485.0,0.17473989712403654,-3.5885067721946147,176.18377141918887,Clouds,4.39973727455358,12.0,760.1165056259302,12.00017833468825,12.0,200.0,171.64901140615197,0.002535475744442945,-164.1876456352654,16.411493227805384,0.13502273848332697
40486.0,0.17288472111040787,-3.5216604125017588,176.116958487937,Clouds,4.384685751456582,12.0,755.6804032829114,12.000176796618407,12.0,200.0,171.59817134287624,0.00252067849980039,-164.12079927557255,16.47833958749824,0.13410139360416853
40487.0,0.1710413025800233,-3.4552942616370164,176.0506263604589,Clouds,4.369955544461012,12.0,751.2830668373241,12.000175231162471,12.0,200.0,171.5474801506443,0.002506010564272848,-164.0544331247078,16.544705738362985,0.1331906653536046
40488.0,0.16921028573935532,-3.389423449568631,175.98479017534086,Clouds,4.355549351965026,12.0,746.9251857060036,12.000173637923272,12.0,200.0,171.49695021763873,0.0024914742375073476,-163.98856231263943,16.610576550431368,0.13229060573711615
40489.0,0.16739232127853193,-3.324063491033222,175.91946545587277,Clouds,4.341469909136942,12.0,742.6074583677175,12.000172016506585,12.0,200.0,171.44659427768897,0.002477071849378271,-163.92320235410403,16.675936508966778,0.13140126904685656
40490.0,0.16558806661102932,-3.259230313089192,175.85466813758072,Clouds,4.327719989442488,12.0,738.3305942007427,12.000170366522111,12.0,200.0,171.39642543590313,0.002462805766116847,-163.85836917615995,16.74076968691081,0.1305227122350674
40491.0,0.1637981844625659,-3.1949402235529645,175.79041453665332,Clouds,4.314302392995609,12.0,734.0953114592221,12.00016868758391,12.0,200.0,171.3464571491555,0.0024486783835610103,-163.79407908662375,16.805059776447035,0.12965499450221563
40492.0,0.16202334269152485,-3.1312099238924125,175.72672136281508,Clouds,4.301219944103065,12.0,729.9023382488223,12.00016697931134,12.0,200.0,171.29670324121702,0.002434692130409839,-163.7303487869632,16.868790076107587,0.12879817749499195
40493.0,0.16026420718260032,-3.068056500132827,175.66360571021508,Clouds,4.288475483609688,12.0,725.7524121106294,12.000165241329844,12.0,200.0,171.2471779013798,0.0024208494668355846,-163.6671953632036,16.931943499867174,0.1279523252255679
40494.0,0.15852146561124114,-3.0054974165436925,175.60108505109605,Clouds,4.276071861354607,12.0,721.6462798590138,12.000163473271765,12.0,200.0,171.19789568570016,0.002407152883942844,-163.60463627961448,16.99450258345631,0.12711750404123878
40495.0,0.1567957910415544,-2.943550507836768,175.53917722797252,Clouds,4.264011927762674,12.0,717.5846973976122,12.000161674777262,12.0,200.0,171.14887151761909,0.0023936049031547425,-163.54268937090754,17.05644949216323,0.12629378259074553
40496.0,0.1550878643454977,-2.8822339738198215,175.47790044826397,Clouds,4.252298525262145,12.0,713.5684297789732,12.000159845495267,12.0,200.0,171.10012069115908,0.0023802080764118924,-163.48137283689059,17.117766026180178,0.1254812318427413
40497.0,0.15339836741259671,-2.82156635605554,175.4172732609352,Clouds,4.240934475579013,12.0,709.5982501747417,12.000157985084318,12.0,200.0,171.05165886047075,0.0023669649827372965,-163.42070521912632,17.17843364394446,0.12467992488541277
40498.0,0.15172798261896553,-2.7615665370511646,175.35731455566165,Clouds,4.229922570612571,12.0,705.6749404229018,12.000156093213699,12.0,200.0,171.00350204800742,0.002353878230061751,-163.36070540012196,17.238433462948834,0.12388993704164354
40499.0,0.1500773918023599,-2.702253721125987,175.29804354367488,Clouds,4.21926555893146,12.0,701.7992904790424,12.00015416956444,12.0,200.0,170.95566663897043,0.0023409504533934682,-163.30139258419678,17.297746278874012,0.1231113457730116
40500.0,0.14844727531082869,-2.643647417194245,175.23947974052214,Clouds,4.208966131759062,12.0,697.9720981103981,12.000152213830397,12.0,200.0,170.9081693781389,0.002328184313797507,-163.24278628026502,17.356352582805755,0.1223442306241797
40501.0,0.14683831101007394,-2.585767419198133,175.18164294647494,Clouds,4.199026907535998,12.0,694.194168560453,12.000150225719368,12.0,200.0,170.86102736576805,0.0023155824972770096,-163.18490628226894,17.414232580801865,0.12158867317089139
40502.0,0.14525117325009818,-2.528633784065986,175.12455322446246,Clouds,4.189450414950137,12.0,690.466314187058,12.000148204954245,12.0,200.0,170.8142580525542,0.0023031477135660896,-163.12777264713677,17.471366215934015,0.12084475695811066
40503.0,0.14368653189896613,-2.472266810932223,175.06823087926404,Clouds,4.180239074951537,12.0,686.7893543266495,12.000146151274269,12.0,200.0,170.76787923682357,0.0022908826956769186,-163.071405674003,17.527733189067778,0.12011256748892513
40504.0,0.14214505089734386,-2.4166870017834103,175.01269641813283,Clouds,4.171395178430707,12.0,683.1641141006056,12.000144064436064,12.0,200.0,170.72190904770162,0.002278790195918156,-163.0158258648542,17.583312998216588,0.11939219200054674
40505.0,0.14062738742791453,-2.361915042781137,174.95797053208804,Clouds,4.162920865912828,12.0,679.5914247366372,12.000141944215052,12.0,200.0,170.67636594662727,0.0022668729869669947,-162.96105390585194,17.63808495721886,0.11868371954795252
40506.0,0.13913419060259014,-2.3079717666073365,174.9040740582333,Clouds,4.154818102596275,12.0,676.0721228262369,12.000139790406683,12.0,200.0,170.63126871476513,0.0022551338593922764,-162.90711062967813,17.692028233392666,0.11798724087189945
40507.0,0.1376661002160547,-2.2548781154231006,174.85102794268752,Clouds,4.147088651920618,12.0,672.6070498077966,12.000137602827733,12.0,200.0,170.58663644244922,0.0022435756199303608,-162.85401697849386,17.7451218845769,0.11730284831769827
40508.0,0.1362237455602942,-2.2026551041236337,174.7988532038096,Clouds,4.139734047400745,12.0,669.197051665382,12.000135381317696,12.0,200.0,170.54248852061323,0.0022322010904803416,-162.80179396719444,17.797344895876364,0.1166306357956541
40509.0,0.1348077437745811,-2.1513237647140397,174.74757087654993,Clouds,4.132755559953925,12.0,665.8429775989151,12.000133125739895,12.0,200.0,170.4988446180553,0.0022210131036682554,-162.75046262778483,17.84867623528596,0.1159706985407235
40510.0,0.13341869878490548,-2.100905109814367,174.69720197592093,Clouds,4.126154166024894,12.0,662.5456801589552,12.000130835983073,12.0,200.0,170.45572467673503,0.002210014503296661,-162.70004397288517,17.899094890185633,0.11532313316100923
40511.0,0.13205719977564795,-2.051420076918034,174.6477674412282,Clouds,4.119930510921651,12.0,659.3060143459077,12.000128511962657,12.0,200.0,170.41314889281765,0.0021992081413399257,-162.6505589399888,17.948579923081965,0.11468803748893125
40512.0,0.13072381972364244,-2.002889472455251,174.59928808010406,Clouds,4.114084870081892,12.0,656.1248369256388,12.000126153622134,12.0,200.0,170.37113769955457,0.0021885968756613573,-162.60202833552603,17.99711052754475,0.11406551046758212
40513.0,0.12941911389009353,-1.9553339117783362,174.55178450846307,Clouds,4.1086171076582,12.0,653.0030057116783,12.000123760934404,12.0,200.0,170.3297117487659,0.002178183567618897,-162.5544727748491,18.044666088221664,0.11345565203897306
40514.0,0.1281436183702533,-1.9087737586299447,174.50527708993945,Clouds,4.103526632795335,12.0,649.941379051123,12.00012133390323,12.0,200.0,170.28889189407136,0.00216797108035027,-162.5079126217007,18.091226241370055,0.11285856307274993
40515.0,0.12689784820653488,-1.8632290459773573,174.4597858566969,Clouds,4.098812351653173,12.0,646.9408143218069,12.000118872564347,12.0,200.0,170.24869915994458,0.002157962273760092,-162.46236790904814,18.136770954022644,0.11227434509914551
40516.0,0.1256822960652279,-1.8187194146582855,174.41533044804078,Clouds,4.094472619285848,12.0,644.002167833507,12.000116376987009,12.0,200.0,170.20915472843413,0.0021481600041903222,-162.41785827772907,18.181280585341714,0.11170310032080778
40517.0,0.12449743048052048,-1.7752640334859033,174.37193003049669,Clouds,4.090505187387908,12.0,641.1262937354139,12.000113847275228,12.0,200.0,170.17027991167677,0.00213856712077598,-162.3744028965567,18.224735966514096,0.11114493143199738
40518.0,0.12334369426681202,-1.732881522750993,174.32960322128343,Clouds,4.086907150499847,12.0,638.314043361292,12.000111283569094,12.0,200.0,170.13209612926136,0.0021291864632608337,-162.33202038582178,18.267118477249007,0.11059994152223915
40519.0,0.12222150253435782,-1.6915898604304644,174.28836799450008,Clouds,4.083674889079913,12.0,635.566263620718,12.00010868604579,12.0,200.0,170.0946248716229,0.00212002085663115,-162.29072872350127,18.308410139569535,0.11006823379727555
40520.0,0.1211312412670138,-1.651406306373893,174.2482416052812,Clouds,4.080804012846389,12.0,632.8837967518709,12.00010605492101,12.0,200.0,170.05788768086995,0.00211107311029109,-162.25054516944468,18.348593693626107,0.10954991156486579
40521.0,0.12007326551856434,-1.6123473099515082,174.2092404974234,Clouds,4.078289301768449,12.0,630.2674791133093,12.000103390449977,12.0,200.0,170.02190611761822,0.0021023460140325123,-162.2114861730223,18.38765269004849,0.10904507803674392
40522.0,0.11904789772172969,-1.5744284194247729,174.17138021273183,Clouds,4.076124646935703,12.0,627.7181401826889,12.000100692928532,12.0,200.0,169.9867017296276,0.002093842334695054,-162.17356728249555,18.425571580575227,0.10855383616850378
40523.0,0.11805542611786185,-1.537664193554023,174.13467530260473,Clouds,4.074302991890582,12.0,625.2366017487956,12.000097962694202,12.0,200.0,169.95229602217304,0.0020855648134710434,-162.1368030566248,18.462335806445974,0.10807628854113763
40524.0,0.11709610288839434,-1.502068100138417,174.09913922655986,Clouds,4.072816274543355,12.0,622.8236761990137,12.000095200126848,12.0,200.0,169.9187104149496,0.0020775161601931085,-162.10120696320922,18.497931899861584,0.10761253706686887
40525.0,0.11617013417406824,-1.467652435360476,174.0647842715553,Clouds,4.071655372434306,12.0,620.4801661134163,12.00009240564973,12.0,200.0,169.88596621617333,0.002069699051980208,-162.06679129843127,18.532347564639522,0.10716268294768275
40526.0,0.11527771284500354,-1.4344282323510218,174.03162146054052,Clouds,4.070810050801919,12.0,618.2068629492568,12.000089579730169,12.0,200.0,169.85408458327768,0.0020621161288495683,-162.0335670954218,18.56557176764898,0.10672682646092209
40527.0,0.11441896676820068,-1.40240518006708,173.99966047131886,Clouds,4.070268915862329,12.0,616.0045461422743,12.000086722880258,12.0,200.0,169.82308648863147,0.00205476999071896,-162.00154404313787,18.597594819932922,0.10630506682506963
40528.0,0.11359399047503649,-1.3715915325806334,173.9689095458341,Clouds,4.070019374448893,12.0,613.8739811433361,12.000083835656964,12.0,200.0,169.79299266952825,0.0020476631908576434,-161.97073039565143,18.628408467419366,0.10589750185694452
40529.0,0.11280283669797642,-1.3419940593866135,173.9393754404551,Clouds,4.070047602459097,12.0,611.8159197543287,12.000080918663203,12.0,200.0,169.7638236099152,0.0020407982370067783,-161.94113292245737,18.658005940613386,0.10550422808081035
40530.0,0.11204551523517647,-1.3136179656275977,173.9110633462077,Clouds,4.070338522976473,12.0,609.8310977240085,12.000077972547519,12.0,200.0,169.73559948293047,0.002034177583360047,-161.9127568286984,18.6863820343724,0.105125340300745
40531.0,0.11132199262241566,-1.2864668428657198,173.88397683954435,Clouds,4.070875797218068,12.0,607.9202336260358,12.000074998004195,12.0,200.0,169.7083401108997,0.0020278036268211786,-161.8856057059365,18.713533157134282,0.10476093142655961
40532.0,0.1106321925960681,-1.2605426504432606,173.85811786369217,Clouds,4.071641829286253,12.0,606.0840289198472,12.00007199577382,12.0,200.0,169.6820649418822,0.0020216787072069946,-161.85968151351403,18.739457349556737,0.10441109252371018
40533.0,0.10997599596024266,-1.235845675809783,173.83348668899947,Clouds,4.072617788075628,12.0,604.3231653924657,12.000068966642425,12.0,200.0,169.65679298856261,0.0020158050987142103,-161.83498453888058,18.764154324190216,0.10407591236125856
40534.0,0.10935324174048289,-1.212374544871452,173.81008192328255,Clouds,4.073783647262944,12.0,602.6383048255973,12.000065911441581,12.0,200.0,169.6325427986328,0.002010185008808985,-161.81151340794224,18.78762545512855,0.1037554773868189
40535.0,0.1087637285147805,-1.1901262412017042,173.78790053104777,Clouds,4.075118245944739,12.0,601.0300878532892,12.000062831047892,12.0,200.0,169.6093324135589,0.0020048205744164823,-161.7892651042725,18.809873758798297,0.10344987154413993
40536.0,0.10820721600675781,-1.1690961375897053,173.7669378650628,Clouds,4.076599372372694,12.0,599.4991320882335,12.00005972638194,12.0,200.0,169.58717931673544,0.0019997138556708902,-161.7682350006605,18.830903862410295,0.1031591759546812
40537.0,0.10768342800407382,-1.1492780804275038,173.74718775074513,Clouds,4.078203869636653,12.0,598.0460323503826,12.000056598408236,12.0,200.0,169.56610041211417,0.0019948668366780013,-161.74841694349828,18.850721919572496,0.10288346899432238
40538.0,0.10719205496448203,-1.1306644653990983,173.72864256188677,Clouds,4.0799077682074065,12.0,596.6713584524691,12.000053448133585,12.0,200.0,169.54611196777253,0.001990281418128501,-161.7298033284699,18.8693355346009,0.10262282590680802
40539.0,0.10673275765313267,-1.1132463553910097,173.71129333858954,Clouds,4.081686442922078,12.0,595.3756541805506,12.000050276605942,12.0,200.0,169.5272295770238,0.001985959413897432,-161.7123852184618,18.88675364460899,0.10237731864366287
40540.0,0.10630517173964904,-1.0970136381956628,173.69512994498274,Clouds,4.083514793294624,12.0,594.1594373532662,12.00004708491377,12.0,200.0,169.5094681357784,0.001981902551241853,-161.69615250126643,18.902986361804338,0.1021470159096752
40541.0,0.10590891213891768,-1.0819551779340593,173.6801412206947,Clouds,4.085367450963479,12.0,593.0231975789213,12.000043874183785,12.0,200.0,169.49284178696666,0.0019781124633192785,-161.68109404100483,18.91804482206594,0.10193198276456761
40542.0,0.10554357858565977,-1.0680590166661645,173.66631518248965,Clouds,4.0872190068145295,12.0,591.9673960301907,12.000040645579748,12.0,200.0,169.47736389506088,0.001974590688436167,-161.66719787973693,18.931940983333835,0.10173228061425425
