Times,BER,EbNo,Prop_Loss,Weather,Rain_Loss,EIRP,Range,Rcvd_Frequency,g_over_T,Bandwidth,Free_Space_Loss,Propagation_Delay,Rcvd_Iso_Power,C/No,Atmos Loss
3504.627125276,0.11618705294532505,-1.4682817814347093,174.06409267826692,Clouds,1.9036939304548397,12.0,799.9921588053105,12.00015319980359,12.0,200.0,172.09312274756786,0.002668486606175098,-162.0674206445055,18.531718218565292,0.06727600024418184
3505.0,0.11570614935904383,-1.4503854671889527,174.0462100664015,Clouds,1.9014301964528486,12.0,798.5679796812948,12.00015256926802,12.0,200.0,172.07764598736216,0.0026637360559660737,-162.04952433025971,18.54961453281105,0.06713388258650832
3506.0,0.11442524583648833,-1.4026395200850321,173.9985012321617,Clouds,1.8954234644642258,12.0,794.7776870327673,12.000150861453957,12.0,200.0,172.03632146321272,0.002651093000587651,-162.00177838315582,18.59736047991497,0.06675630448474507
3507.0,0.11315746327453219,-1.3552666049225015,173.9511659647002,Clouds,1.8895107659701895,12.0,791.0303671743861,12.000149129013517,12.0,200.0,171.99527126520707,0.0026385932870078613,-161.9544054679933,18.6447333950775,0.06638393352295255
3508.0,0.11190315223352676,-1.3082788392023597,173.90421638543654,Clouds,1.8836925514589078,12.0,787.326637197231,12.000147371765738,12.0,200.0,171.9545070416642,0.0026262389736209806,-161.90741770227316,18.69172116079764,0.06601679231344335
3509.0,0.1106626614336913,-1.2616885416278223,173.8576648167795,Clouds,1.8779692632723,12.0,783.66711943157,12.00014558953944,12.0,200.0,171.91404064922918,0.002614032136297338,-161.8608274046986,18.73831145837218,0.06565490427804645
3510.0,0.10943633692233523,-1.215508208607127,173.81152375862655,Clouds,1.8723413320388549,12.0,780.0524397347584,12.000143782173389,12.0,200.0,171.8738841331047,0.0026019748626723575,-161.8146470716779,18.784491791392874,0.06529829348298485
3511.0,0.10822452202146648,-1.1697505194342026,173.7658058935251,Clouds,1.8668091767088373,12.0,776.4832280676237,12.000141949517177,12.0,200.0,171.8340497321159,0.0025900692540691723,-161.768889382505,18.830249480565797,0.06494698470039564
3512.0,0.10702755692292965,-1.1244283276904825,173.72052407806189,Clouds,1.8613732029415362,12.0,772.9601180074084,12.000140091431811,12.0,200.0,171.794549871755,0.00257831742387398,-161.7235671907613,18.875571672309515,0.06460100336533482
3513.0,0.10584577835762005,-1.0795546547805541,173.67569133638415,Clouds,1.8560338018227145,12.0,769.4837464546041,12.00013820779036,12.0,200.0,171.75539715900902,0.0025667214965581424,-161.67869351785134,18.920445345219445,0.06426037555241285
3514.0,0.1046795193358826,-1.0351426854897403,173.63132085574182,Clouds,1.8507913488866559,12.0,766.0547535207543,12.000136298478685,12.0,200.0,171.71660437888494,0.002555283607303938,-161.63428154856052,18.964857314510258,0.06392512797025497
3515.0,0.10352910855773112,-0.9912057502122323,173.58742596870724,Clouds,1.8456462016518964,12.0,762.6737814125393,12.000134363395809,12.0,200.0,171.67818447919612,0.0025440058982822687,-161.59034461328304,19.00879424978777,0.06359528785923442
3516.0,0.10239487056681135,-0.9477573347310609,173.5440201629288,Clouds,1.8405987004747897,12.0,759.341475468486,12.000132402455135,12.0,200.0,171.64015057935543,0.002532890522110753,-161.54689619780186,19.05224266526894,0.06327088309857687
3517.0,0.1012771249754098,-0.9048110537246199,173.50111705463445,Clouds,1.8356491652446465,12.0,756.058482423609,12.000130415584591,12.0,200.0,171.60251594734476,0.002521939636065191,-161.50394991679542,19.095188946275382,0.06295194204504952
3518.0,0.10017618643247139,-0.8623806517283695,173.45873038957217,Clouds,1.8307978953938255,12.0,752.8254508171824,12.000128402727603,12.0,200.0,171.5652940005988,0.0025111554034397436,-161.46151951479914,19.13761934827163,0.06263849357952864
3519.0,0.09909236433143292,-0.8204799932625386,173.41687403312181,Clouds,1.8260451687399348,12.0,749.643030588787,12.000126363843819,12.0,200.0,171.52849829730584,0.0025005399921994935,-161.41961885633333,19.179520006737462,0.06233056707604139
3520.0,0.09802596227717492,-0.7791230426097242,173.37556195006584,Clouds,1.821391239287467,12.0,746.5118719177799,12.000124298909443,12.0,200.0,171.49214251848096,0.0024900955711093303,-161.37826190568052,19.220876957390274,0.062028192297420945
3521.0,0.09697727826547586,-0.7383238701325623,173.33480821087892,Clouds,1.8168363381524124,12.0,743.4326261036584,12.00012220791851,12.0,200.0,171.45624047323753,0.002479824312670529,-161.33746273320332,19.26167612986744,0.06173139948894758
3522.0,0.09594660392471005,-0.698096621187029,173.29462696064112,Clouds,1.81238067041052,12.0,740.4059436357168,12.0001200908829,12.0,200.0,171.42080607102895,0.0024697283866818185,-161.29723548425784,19.30190337881297,0.06144021920168322
3523.0,0.09493422477625785,-0.658455523497685,173.25503242638405,Clouds,1.8080244163931647,12.0,737.4324751977784,12.000117947833681,12.0,200.0,171.3858533275933,0.002459809963590807,-161.25759438656846,19.341544476502314,0.061154682397591
3524.0,0.09394041963681798,-0.6194148600024614,173.21603888993192,Clouds,1.8037677292904437,12.0,734.512870090536,12.000115778821273,12.0,200.0,171.35139634033297,0.0024500712092314744,-161.21855372307326,19.38058513999754,0.06087482030850097
3525.0,0.09296546041810788,-0.5809889559264609,173.17766067496183,Clouds,1.7996107345192838,12.0,731.6477757579931,12.000113583916082,12.0,200.0,171.3174492760425,0.002440514283244554,-161.18012781899725,19.41901104407354,0.06060066440002342
3526.0,0.09200961223444143,-0.543192176857337,173.13991214505535,Clouds,1.7955535304302046,12.0,728.8378381539367,12.000111363209587,12.0,200.0,171.2840263682074,0.0024311413402999505,-161.14233103992814,19.456807823142665,0.06033224641770854
3527.0,0.09107313304517972,-0.5060389073555462,173.10280768230115,Clouds,1.7915961870694113,12.0,726.0837006740305,12.000109116814693,12.0,200.0,171.25114189693645,0.0024219545265345885,-161.10517777042634,19.493961092644454,0.06006959829530817
3528.0,0.09015627338605631,-0.4695435317370138,173.0663616680688,Clouds,1.7877387453879097,12.0,723.3860032795394,12.000106844866151,12.0,200.0,171.2188101705995,0.00241295597662947,-161.06868239480778,19.530456468262987,0.059812752081345635
3529.0,0.0892592764078905,-0.4337204258275942,173.0305884747445,Clouds,1.7839812178022252,12.0,720.7453824557197,12.000104547521406,12.0,200.0,171.18704551699466,0.0024041478136708817,-161.0328592888984,19.566279574172405,0.05956173994763142
3530.0,0.08838237770024643,-0.3985839389894432,172.99550244774798,Clouds,1.780323587909693,12.0,718.1624704668103,12.000102224961049,12.0,200.0,171.15586226570917,0.0023955321466653115,-160.99772280206022,19.601416061010557,0.059316594129116135
3531.0,0.08752580524760878,-0.3641483802073137,172.96111789160508,Clouds,1.7767658108295636,12.0,715.6378949300516,12.000099877389436,12.0,200.0,171.1252747338804,0.002387111069118529,-160.9632872432781,19.635851619792685,0.05907734689515534
3532.0,0.08668977918815002,-0.3304279950251,172.92744904687996,Clouds,1.7733078128000834,12.0,713.1722777362237,12.000097505034905,12.0,200.0,171.09529720362062,0.0023788866554348862,-160.92956685809588,19.6695720049749,0.05884403045924909
3533.0,0.08587451192110679,-0.2974369552848411,172.89451007989857,Clouds,1.7699494923050478,12.0,710.7662349272346,12.000095108150473,12.0,200.0,171.0659439106141,0.002370860960509002,-160.89657581835564,19.70256304471516,0.05861667697940018
3534.0,0.08508020801359062,-0.26518933966960223,172.8623150632842,Clouds,1.766690720447709,12.0,708.4203759124964,12.000092687014195,12.0,200.0,171.03722902433998,0.002363036017111866,-160.86432820274038,19.734810660330396,0.05839531849650828
3535.0,0.0843070641827443,-0.23369911613867317,172.8308779583851,Clouds,1.7635313417247445,12.0,706.1353028388717,12.000090241929502,12.0,200.0,171.00916662977318,0.0023554138337892132,-160.83283797920944,19.766300883861327,0.058179986887157774
3536.0,0.08355526929780871,-0.20298012408079155,172.8002125974204,Clouds,1.7604711749705877,12.0,703.9116099524226,12.000087773225545,12.0,200.0,170.9817707086338,0.0023479963927325437,-160.8021189871516,19.797019875919208,0.057970713816040714
3537.0,0.08282500444992502,-0.1730460582001595,172.77033266735816,Clouds,1.7575100146625586,12.0,701.7498830964206,12.000085281257556,12.0,200.0,170.95505512199475,0.002340785648104665,-160.77218492127093,19.82695394179984,0.05776753070089524
3538.0,0.08211644284491931,-0.14391044415649057,172.74125168555736,Clouds,1.7546476316012674,12.0,699.6506986224514,12.000082766406779,12.0,200.0,170.92903358533243,0.00233378352240753,-160.7430493072273,19.85608955584351,0.057570468623691376
3539.0,0.08142973801060743,-0.11558662616455258,172.712982987357,Clouds,1.7518837749490555,12.0,697.6146231754728,12.000080229080924,12.0,200.0,170.90371965408565,0.002326991905765264,-160.71472548923535,19.884413373835446,0.0573795583222895
3540.0,0.08076507107723724,-0.08808774629817842,172.68553970538028,Clouds,1.7492181736107586,12.0,695.6422128842421,12.000077669714186,12.0,200.0,170.87912670164158,0.0023204126532237247,-160.68722660936896,19.91191225370182,0.057194830127953976
3541.0,0.08012258112968806,-0.06142672761209737,172.6589347526525,Clouds,1.7466505381399153,12.0,693.734012832141,12.000075088767419,12.0,200.0,170.85526790058466,0.002314047582985363,-160.6605655906829,19.938573272387902,0.05701631392793417
3542.0,0.0795024109864591,-0.035616249699277895,172.6331807981666,Clouds,1.7441805620557935,12.0,691.8905559894895,12.000072486727763,12.0,200.0,170.83215619703196,0.0023078984728478044,-160.63475511277005,19.964383750300723,0.05684403907881747
3543.0,0.07890469618270457,-0.01066873559879707,172.60829025378482,Clouds,1.7418079243719167,12.0,690.1123629621579,12.000069864108925,12.0,200.0,170.80980429501764,0.002301967059365309,-160.6098075986696,19.9893312644012,0.056678034395270624
3544.0,0.0783295650586352,0.0134036689146548,172.58427525353454,Clouds,1.7395322914893916,12.0,688.3999411936687,12.000067221450898,12.0,200.0,170.78822463395716,0.002296255035187272,-160.58573519415614,20.013403668914655,0.05651832808798531
3545.0,0.07777713890661864,0.036589114026324275,172.56114763491706,Clouds,1.7373533193656843,12.0,686.7537843109878,12.000064559319762,12.0,200.0,170.76742936783606,0.002290764046876015,-160.56254974904448,20.036589114026327,0.05636494771530763
3546.0,0.0772475321683041,0.058876062782814424,172.53891892200986,Clouds,1.7352706559065056,12.0,685.174371595191,12.000061878307513,12.0,200.0,170.74743034595735,0.0022854956931411233,-160.54026280028796,20.058876062782815,0.05621792014599895
3547.0,0.0767408524795446,0.08025331460250328,172.5176003019716,Clouds,1.733283942777777,12.0,683.6621669788683,12.000059179031359,12.0,200.0,170.728239087716,0.0022804515214951415,-160.5188855484683,20.0802533146025,0.05607727147786534
3548.0,0.07625720096736466,0.10071001828215503,172.49720261203765,Clouds,1.7313928182094211,12.0,682.2176187839162,12.000056462133626,12.0,200.0,170.70986676680303,0.0022756330273789485,-160.49842884478863,20.100710018282154,0.05594302702519985
3549.0,0.0757966723875449,0.12023569166747,172.4777363198624,Clouds,1.729596919160758,12.0,680.841158978013,12.000053728281163,12.0,200.0,170.69232418944046,0.002271041651681621,-160.47890317140332,20.12023569166747,0.05581521126121778
3550.0,0.07535935534380622,0.13882023773678723,172.4592115074463,Clouds,1.7278958837780498,12.0,679.533202676275,12.000050978164852,12.0,200.0,170.67562177588542,0.0022666787790781412,-160.460318625334,20.138820237736788,0.055693847782808566
3551.0,0.07494533233052875,0.15645396792806507,172.44163784783274,Clouds,1.7262893531340027,12.0,678.2941471211288,12.000048212498506,12.0,200.0,170.6597695354716,0.002262545734626616,-160.44268489514275,20.156453967928066,0.05557895922716065
3552.0,0.07455468017036715,0.17312760828959148,172.42502459895533,Clouds,1.7247769744426606,12.0,677.1243718605076,12.000045432018979,12.0,200.0,170.64477705721427,0.0022586437843626728,-160.42601125478117,20.17312760828959,0.05547056729843274
3553.0,0.0741874699522782,0.18883232638190922,172.4093805767717,Clouds,1.7233584022787707,12.0,676.0242374489115,12.000042637484507,12.0,200.0,170.63065348183483,0.002254974130966669,-160.41030653668886,20.188832326381913,0.05536869265811799
3554.0,0.07384376738908988,0.20355973968993335,172.39471414685676,Clouds,1.7220333013465818,12.0,674.994085433923,12.00003982967447,12.0,200.0,170.61740749057745,0.0022515379137187067,-160.39557912338086,20.203559739689933,0.05527335493270383
3555.0,0.07352363286614738,0.2173019364796262,172.38103320357712,Clouds,1.7208013479761488,12.0,674.0342374487491,12.00003700938796,12.0,200.0,170.60504728296132,0.0022483362054716836,-160.38183692659118,20.21730193647963,0.05518457263965858
3556.0,0.07322712168623846,0.23005148740784162,172.36834515849822,Clouds,1.71966223228483,12.0,673.144994933702,12.000034177443009,12.0,200.0,170.59358056304274,0.00224537001172225,-160.36908737566293,20.23005148740784,0.055102363170666024
3557.0,0.07295428435254275,0.2418014544866677,172.3566569314319,Clouds,1.7186156603871314,12.0,672.3266390180958,12.000031334676025,12.0,200.0,170.58301452825643,0.0022426402702168573,-160.3573374085841,20.24180145448667,0.05502674278833095
3558.0,0.07270516643628588,0.252545416844783,172.3459749247271,Clouds,1.717661354919465,12.0,671.5794292022538,12.000028481939417,12.0,200.0,170.57335584329454,0.002240147846555412,-160.346593446226,20.252545416844786,0.05495772651309571
3559.0,0.07247980905000545,0.2622774692318108,172.33630502476146,Clouds,1.7167990577790713,12.0,670.9036039182964,12.000025620101768,12.0,200.0,170.5646106388009,0.0022378935360618593,-160.33686139383894,20.26227746923181,0.05489532818148956
