Times,BER,EbNo,Prop_Loss,Weather,Rain_Loss,EIRP,Range,Rcvd_Frequency,g_over_T,Bandwidth,Free_Space_Loss,Propagation_Delay,Rcvd_Iso_Power,C/No,Atmos Loss
9702.098,0.12930325059487524,-1.951107370653626,174.54676783988927,Clouds,2.3768689708705684,12.0,799.993212536824,12.00016012182412,12.0,200.0,172.09313418841703,0.002668490121045086,-162.5502462337244,18.048892629346373,0.07676468060165648
9703.0,0.1280327604978599,-1.9047236933280707,174.50041619652114,Clouds,2.370010383864325,12.0,796.4015560218722,12.000158647781499,12.0,200.0,172.05405014058752,0.002656509644488362,-162.50386255639884,18.09527630667193,0.07635567206931408
9704.0,0.12663581051704564,-1.8536399962989283,174.44936852544612,Clouds,2.362518897047468,12.0,792.4587849432506,12.000156990034153,12.0,200.0,172.0109418272013,0.0026433579758142235,-162.45277885936972,18.146360003701073,0.07590780119733667
9705.0,0.12525142228314123,-1.8029250515598827,174.39869014946294,Clouds,2.3551462107356764,12.0,788.5577401762663,12.000155307295525,12.0,200.0,171.96807812205293,0.0026303454911339574,-162.40206391463065,18.197074948440118,0.07546581667432799
9706.0,0.12387999818294254,-1.7525912849496674,174.34839349927304,Clouds,2.3478930891113436,12.0,784.6990488134043,12.000153599341218,12.0,200.0,171.9254706662747,0.0026174742822029375,-162.35173014802044,18.247408715050334,0.07502974388699149
9707.0,0.12252193984148169,-1.7026513405392047,174.29849122363157,Clouds,2.3407602856811667,12.0,780.8833435268403,12.000151865955033,12.0,200.0,171.88313132878943,0.002604746459388382,-162.30179020360998,18.297348659460795,0.07459960916099935
9708.0,0.12117764771506867,-1.6531180758374808,174.24899618453873,Clouds,2.333748540914281,12.0,777.1112623457892,12.000150106929638,12.0,200.0,171.84107220388682,0.0025921641509266697,-162.25225693890826,18.34688192416252,0.07417543973760292
9709.0,0.11984752059125164,-1.6040045531646294,174.19992144860765,Clouds,2.3268585793314354,12.0,773.3834481715994,12.000148322066801,12.0,200.0,171.7993056055504,0.0025797295013058647,-162.20314341623543,18.39599544683537,0.0737572637258107
9710.0,0.11853195533800753,-1.5553240397628794,174.15128028714608,Clouds,2.3200911078234383,12.0,769.7005489849847,12.000146511178743,12.0,200.0,171.75784406919408,0.0025674446719569735,-162.15446290283367,18.44467596023712,0.0733451101285531
9711.0,0.11723134633007076,-1.5070899954867634,174.10308616384685,Clouds,2.313446812213495,12.0,766.0632171406867,12.000144674088125,12.0,200.0,171.71670034286433,0.0025553118389011866,-162.10622885855756,18.492910004513238,0.07293900876906703
9712.0,0.11594607625359304,-1.4593160690894205,174.05535273105033,Clouds,2.306926355038166,12.0,762.4721093442347,12.000142810629146,12.0,200.0,171.67588738571908,0.002543333192672361,-162.0584549321602,18.54068393091058,0.0725389902931019
