Times,BER,EbNo,Prop_Loss,Weather,Rain_Loss,EIRP,Range,Rcvd_Frequency,g_over_T,Bandwidth,Free_Space_Loss,Propagation_Delay,Rcvd_Iso_Power,C/No,Atmos Loss
1703.242,0.12223297887623386,-1.692012487111099,174.28785827761817,Rain,2.1202413057506906,12.0,799.9911994884983,12.00015159411492,12.0,200.0,172.09311233180958,0.0026684834062386527,-162.29115135018188,18.3079875128889,0.07450464005789052
1704.0,0.12124574065821453,-1.655629559329769,174.25150353730004,Rain,2.1152934583074523,12.0,797.1327537881434,12.000150297013965,12.0,200.0,172.0620212316498,0.002658948657701534,-162.25476842240056,18.34437044067023,0.07418884734282186
1705.0,0.11995481451029388,-1.607970148507347,174.2038817809296,Rain,2.1088574189628257,12.0,793.3995419027971,12.000148564257973,12.0,200.0,172.02124705049528,0.002646496003254348,-162.20710901157813,18.39202985149265,0.07377731147147985
1706.0,0.11867730496702505,-1.560707745177169,174.15665756776346,Rain,2.102525911145685,12.0,789.7099263483318,12.000146806834614,12.0,200.0,171.98076008205652,0.002634188770513806,-162.15984660824796,18.43929225482283,0.07337157456121488
1707.0,0.11741357445716921,-1.513854640940806,174.1098431930048,Rain,2.096299442574834,12.0,786.0645253830312,12.000145024577499,12.0,200.0,171.940572088245,0.002622029021767556,-162.1129935040116,18.486145359059194,0.07297166218494784
1708.0,0.11616397463974343,-1.4674233075840373,174.0634511318184,Rain,2.09017850809555,12.0,782.463961392901,12.000143217330468,12.0,200.0,171.90069502302345,0.0026100188330718476,-162.06656217065483,18.53257669241596,0.07257760069942779
1709.0,0.1149288800767741,-1.4214263900655304,174.0174940323069,Rain,2.084163587966645,12.0,778.9088605318486,12.00014138494816,12.0,200.0,171.8611410271292,0.0025981602930512967,-162.02056525313634,18.57857360993447,0.07218941721102967
1710.0,0.11370863801191095,-1.3758767002445471,173.97198470922552,Rain,2.078255146305457,12.0,775.3998524445065,12.00013952729661,12.0,200.0,171.82192242336978,0.002586455501974324,-161.97501556331534,18.624123299755453,0.07180713955032525
1711.0,0.11250360051880609,-1.3307872100868825,173.92693613717373,Rain,2.072453629523462,12.0,771.9375699731839,12.000137644253918,12.0,200.0,171.783051711403,0.002574906570775653,-161.92992607315767,18.669212789913118,0.07143079624726893
1712.0,0.11131411624499515,-1.286171045377951,173.88236144429226,Rain,2.0667594648937264,12.0,768.5226489283525,12.00013573571097,12.0,200.0,171.7445415628865,0.0025635156202907295,-161.88530990844873,18.71382895462205,0.07106041651201495
1713.0,0.11014052999016777,-1.2420414746626343,173.83827390119475,Rain,2.0611730585826202,12.0,765.1557275193375,12.000133801571831,12.0,200.0,171.70640481243203,0.0025522847793567156,-161.84118033773342,18.757958525337365,0.07069603018006954
1714.0,0.10898318243519917,-1.1984119030843328,173.7946869147887,Rain,2.0556947943984816,12.0,761.8374461861866,12.00013184175457,12.0,200.0,171.66865445268826,0.002541216184251662,-161.7975507661551,18.801588096915665,0.07033766770196179
1715.0,0.10784240989266886,-1.1552958662790187,173.7516140221478,Rain,2.0503250326228986,12.0,758.5684474575895,12.000129856192268,12.0,200.0,171.63130362938975,0.0025303119782205783,-161.75443472934978,18.84470413372098,0.06998536013512359
1716.0,0.10671854385433782,-1.1127070157709302,173.70906887590425,Rain,2.045064107878916,12.0,755.3493751895685,12.000127844833166,12.0,200.0,171.59436562895476,0.002519574308935979,-161.7118458788417,18.88729298422907,0.06963913907057218
1717.0,0.10561191069069242,-1.0706591091881679,173.66706523444975,Rain,2.0399123277286115,12.0,752.1808741985234,12.000125807641343,12.0,200.0,171.55785387011935,0.0025090053272738546,-161.66979797225895,18.929340890811833,0.06929903660181642
1718.0,0.10452283149567393,-1.029166005092125,173.62561695673705,Rain,2.0348699719462613,12.0,749.063590264127,12.000123744597998,12.0,200.0,171.5217818994564,0.002498607187323328,-161.6283048681629,18.970833994907874,0.06896508533437802
1719.0,0.10345162160723992,-0.9882416445252794,173.5847379838309,Rain,2.0299372902926307,12.0,745.9981691577054,12.000121655701305,12.0,200.0,171.48616337524686,0.0024883820431456797,-161.58738050759607,19.01175835547472,0.06863731829143051
1720.0,0.10239859051454853,-0.9479000462628855,173.54444233412752,Rain,2.025114502106326,12.0,742.9852567245441,12.000119540967901,12.0,200.0,171.45101206308902,0.0024783320490488927,-161.54703890933365,19.052099953737113,0.06831576893217026
1721.0,0.10136404143771438,-0.9081552885423589,173.50474408508524,Rain,2.0204017944036616,12.0,740.02549797703,12.00011740043282,12.0,200.0,171.41634181961615,0.002468459356562699,-161.50729415161317,19.09184471145764,0.06800047106544459
1722.0,0.10034827116763456,-0.8690214996515099,173.46565736378992,Rain,2.0157993212141028,12.0,737.1195368740316,12.000115234150558,12.0,200.0,171.3821665837387,0.0024587661137026725,-161.4681603627223,19.13097850034849,0.06769145883711752
1723.0,0.09935156982690357,-0.8305128444211994,173.42719633343367,Rain,2.011307202590227,12.0,734.2680158158247,12.0001130421957,12.0,200.0,171.34850036415622,0.00244925446328548,-161.42965170749198,19.1694871555788,0.06738876668725609
1724.0,0.09837422057910938,-0.7926435075895543,173.38937517667486,Rain,2.006925523438054,12.0,731.4715749305415,12.000110824663127,12.0,200.0,171.31535722395114,0.002439926540548733,-161.39178237066034,19.207356492410447,0.06709242928565924
1725.0,0.09741649955315096,-0.7554276843456992,173.35220808615222,Rain,2.0026543333775844,12.0,728.7308519107868,12.000108581669371,12.0,200.0,171.28275127124795,0.0024307844726060013,-161.35456654741648,19.2445723156543,0.06680248152667767
1726.0,0.0964786755352896,-0.718879560741609,173.31570924490103,Rain,1.9984936456253308,12.0,726.0464811226103,12.000106313352429,12.0,200.0,171.25069664082903,0.002421830375474657,-161.3180184238124,19.28112043925839,0.06651895844664465
1727.0,0.09556100987388427,-0.6830133011872748,173.27989281382634,Rain,1.994443436910847,12.0,723.4190932549387,12.000104019872762,12.0,200.0,171.21920748171652,0.0024130663529065123,-161.2821521642581,19.316986698812723,0.06624189519897307
1728.0,0.09466375631475737,-0.6478430321124287,173.24477291535558,Rain,1.9905036471687172,12.0,720.8493147034521,12.000101701413723,12.0,200.0,171.18829794118432,0.00240449449433265,-161.24698189518324,19.35215696788757,0.06597132700256034
